Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
1/1/2013,7.6,2.5,16,282.2,21.8,0,35.8,74.3,57.3
1/4/2013,14.5,1.4,16,256.3,23.3,0,107.6,39.7,54.5
1/7/2013,9.3,4.3,16,303.5,24.6,0,112.6,14.1,53.2
1/10/2013,4.7,6.4,16,311.6,22.4,0,116.8,9.4,46.1
1/13/2013,19.2,7.7,5.1,182.7,12.5,0.142,33,100,95.4
1/16/2013,11.6,1.2,8.9,354,13.7,17.065,37,92,90.7
1/19/2013,5.2,4.3,16,217.6,27.7,0,126.4,19.3,48.7
1/22/2013,6.2,-6.4,15.9,295.5,28.7,0,62.4,35.9,44.3
1/25/2013,15.1,-7.9,13.9,284.9,26.2,1.507,67.3,40.7,57.3
1/28/2013,27,-0.3,9.6,204.7,16.4,5.591,38.9,83.5,74.7
1/31/2013,3.7,7.7,14.4,251.5,49.3,23.179,140.9,56.5,57.1
2/3/2013,19.9,-3,13.3,330.7,13.1,0.724,66.7,70.4,71.6
2/6/2013,17.8,0.6,12.3,309.9,20.8,0.142,139.9,49.7,62.4
2/9/2013,3.7,-2.2,11.3,325.3,31.4,9.478,147.9,39.5,62.7
2/12/2013,7.1,5,16,274.6,30.4,0,152.8,60,54.7
2/15/2013,26,6.3,13.8,203.2,18.6,0,164.6,32.3,63.7
2/18/2013,3.5,-3.3,16,289.5,28.5,0,186,5.6,40.3
2/21/2013,3.9,-2.1,16,308.2,29.1,0,185,37.1,48.6
2/24/2013,4.7,3.9,13.8,324.2,29.5,0.732,133.5,83,73.1
2/27/2013,5,5.5,8,61.4,35.1,29.407,72.9,90.6,86.3
3/2/2013,2.7,2,15.3,315.1,20.6,0,158.9,94.6,62
3/5/2013,4.8,4,16,348.9,22.9,0,214.4,15.4,51.6
3/8/2013,4,1.8,7.4,347.3,21.1,13.71,63.8,96.3,81.9
3/11/2013,11.5,7.8,15.2,175.5,20.1,0,166.8,83.8,80.4
3/14/2013,3,1.5,16,302.3,35.3,0,155.3,59.9,40.6
3/17/2013,4.8,0.9,16,318.3,20,0,143.2,23,54.4
3/20/2013,8.2,3.6,16,281.3,26.2,0,239.6,50,44.9
3/23/2013,3.4,3.8,16,297.4,28.5,0,244.3,43.7,44.4
3/26/2013,4.3,6,16,321.6,20.6,0,191.9,70.4,55.5
3/29/2013,4,8,16,312.6,25.5,0,253.9,49.7,48.5
4/1/2013,7.6,9.2,12.9,277.4,27.1,0.103,153.5,45.4,68
4/4/2013,6.5,4.9,16,224.9,24.6,0,270.4,11.1,41.7
4/7/2013,5.1,8.7,16,177.5,26.7,0,223.7,27.1,58.6
4/10/2013,12.8,17.2,15,102.6,22.1,5.901,178.3,41.1,59.9
4/13/2013,3.9,8.8,15.7,300.2,17.3,1.265,249.7,78.9,66.9
4/16/2013,5.4,13.1,16,159.7,25.2,0,279.2,66,70.3
4/19/2013,5.2,17,12,171.1,26.5,0.405,217.3,85.2,82.7
4/22/2013,5.4,8.6,16,77.6,27.2,0,311.8,30.2,53.3
4/25/2013,3.1,13.5,15.9,295.7,26.3,0,327.1,32.1,40.6
4/28/2013,8.4,14.3,16,167.2,22.8,0,284,12.2,39.7
5/1/2013,6.7,13.4,16,92.5,17.7,0,333.6,4.7,48.3
5/4/2013,9.1,12.6,16,113.1,19.9,0,335.1,3.2,62.9
5/7/2013,6.3,16.4,15.9,83.3,15.1,0,182.3,37.1,71.5
5/10/2013,11,19.3,15.3,201.7,19.8,0,307.6,15.2,66
5/13/2013,3.5,10.3,16,281.5,27.2,0,315.8,39.3,41.5
5/16/2013,11.5,21,15.9,234.2,23.1,0,232.6,24.5,52.6
5/19/2013,3.4,14.1,6.8,143.5,16.4,10.615,141.7,100,90.8
5/22/2013,19.6,21.3,9.4,125.9,19.2,0,198.8,57.6,79
5/25/2013,1.5,9.5,15.2,312.8,30.4,7.955,127.5,96.2,75.6
5/28/2013,16.8,15.6,10.5,152.4,16.4,12.864,103.6,60.7,71.1
5/31/2013,17.2,28.3,15.2,204.9,19.5,0,273.1,7.5,53
6/3/2013,7.2,22.1,12.5,220.9,21.9,23.316,130.2,86,80.8
6/6/2013,6.6,18,14.9,136.9,21.6,1.524,218.6,55.5,70.8
6/9/2013,11.5,22.1,16,274.8,14.4,0,335.5,27.1,62.9
6/12/2013,4.7,21.4,15.9,310.9,36.3,0,358.2,28.4,54.1
6/15/2013,11.7,21.5,16,305.3,15.5,0,347.7,16.7,54
6/18/2013,12.8,21.9,13.3,47.9,15.1,8.494,121.4,45.8,77.3
