Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2013-09-01,12.2,25.8,15.1,183.8,12.0,0.142,119.0,56.5,77.4,9
2013-09-04,5.0,22.6,16.0,283.3,17.6,0.0,281.5,7.2,54.8,9
2013-09-07,7.6,20.0,16.0,252.9,12.5,0.0,261.9,13.4,49.1,9
2013-09-10,16.1,24.8,14.9,210.2,20.1,0.099,235.6,62.8,69.7,9
2013-09-13,4.2,20.6,15.3,314.9,23.2,11.142,243.6,38.6,69.7,9
2013-09-16,5.8,18.1,15.9,339.3,23.7,0.622,172.8,69.9,64.6,9
2013-09-19,9.1,17.8,16.0,235.4,13.3,0.0,252.4,0.0,58.9,9
2013-09-22,1.9,18.0,14.7,311.7,20.7,23.71,232.9,59.2,63.2,9
2013-09-25,4.3,17.2,16.0,356.7,8.3,0.0,207.9,8.5,51.5,9
2013-09-28,4.7,18.3,16.0,55.6,16.4,0.0,228.8,21.1,59.9,9
2013-10-01,11.7,20.2,16.0,290.5,12.8,0.0,206.3,7.7,60.4,10
2013-10-04,18.4,23.5,14.0,241.6,15.6,0.299,191.9,44.1,63.5,10
2013-10-07,7.2,20.9,12.5,185.8,28.1,7.506,177.0,89.7,80.2,10
2013-10-10,4.4,15.1,16.0,37.1,19.6,0.142,68.5,82.7,68.9,10
2013-10-13,6.9,15.6,16.0,61.8,21.5,0.0,193.7,75.4,65.9,10
2013-10-16,8.4,16.4,15.8,67.7,13.0,0.0,78.6,60.0,73.8,10
2013-10-19,10.4,14.4,16.0,192.8,14.8,0.0,130.2,38.2,58.9,10
2013-10-22,6.6,14.5,15.9,236.0,17.9,0.0,167.9,33.4,59.9,10
2013-10-25,4.8,8.2,16.0,288.2,22.0,0.0,152.9,24.9,48.8,10
2013-10-28,7.0,11.0,16.0,277.6,18.4,0.0,163.3,8.0,45.7,10
2013-10-31,17.0,15.1,11.7,170.9,15.6,0.569,101.3,82.3,77.5,10
2013-11-03,3.3,8.4,16.0,343.2,23.6,0.0,119.2,57.0,52.8,11
2013-11-06,5.4,12.6,16.0,169.6,16.8,0.0,115.7,53.1,66.9,11
2013-11-09,4.6,7.1,16.0,246.4,16.4,0.0,57.6,26.2,46.9,11
2013-11-12,3.2,4.5,14.9,321.5,28.8,0.653,35.1,58.8,50.6,11
2013-11-15,15.5,8.9,16.0,215.0,13.0,0.0,93.3,14.4,38.4,11
2013-11-18,2.2,16.0,13.7,250.7,29.0,5.664,127.3,39.4,49.6,11
2013-11-21,3.6,6.6,16.0,78.7,12.8,0.0,109.6,53.8,55.2,11
2013-11-24,2.1,-2.9,16.0,305.0,40.5,0.0,118.6,23.2,36.1,11
2013-11-27,3.1,9.1,10.7,290.4,29.3,55.067,23.2,99.5,80.4,11
2013-11-30,7.7,0.1,16.0,37.8,12.3,0.0,107.6,33.0,51.5,11
2014-09-02,14.1,29.1,15.9,244.9,24.0,0.0,257.9,17.4,62.4,9
2014-09-05,13.1,25.7,14.6,200.4,17.3,0.0,246.2,41.7,73.5,9
2014-09-08,7.1,20.9,16.0,70.0,17.9,0.0,192.9,23.8,57.2,9
2014-09-11,7.4,23.9,15.9,220.6,20.4,0.0,196.5,71.8,69.6,9
2014-09-14,3.2,16.3,16.0,354.5,17.0,0.0,245.5,14.9,58.2,9
2014-09-17,6.5,18.0,16.0,325.0,11.5,0.0,255.5,7.3,52.4,9
2014-09-20,8.2,19.1,15.9,162.0,24.4,0.0,236.5,50.7,66.3,9
2014-09-23,7.8,15.9,16.0,313.5,13.4,0.0,230.3,6.8,52.1,9
2014-09-26,5.5,19.6,16.0,15.9,15.7,0.0,188.3,4.8,58.5,9
2014-09-29,14.2,22.2,15.9,275.4,8.8,0.0,76.0,28.5,62.4,9
2014-10-02,4.3,17.6,16.0,44.1,13.9,0.0,140.4,99.5,71.9,10
2014-10-05,6.5,11.4,16.0,274.4,25.1,0.0,219.8,2.5,49.6,10
2014-10-08,7.7,19.5,15.7,242.6,26.3,2.759,205.6,46.9,58.5,10
2014-10-11,6.5,12.1,13.6,25.0,15.1,8.186,64.0,82.8,78.3,10
2014-10-14,4.7,20.6,15.1,168.5,26.3,0.158,186.9,74.2,78.0,10
2014-10-17,7.3,18.4,15.8,232.4,23.6,0.0,181.7,36.9,62.4,10
2014-10-20,5.2,10.1,15.9,222.0,17.0,0.0,139.5,17.2,51.0,10
2014-10-23,2.8,11.2,14.2,351.9,27.9,14.431,31.9,99.5,79.9,10
2014-10-26,4.6,14.4,15.9,297.1,25.9,0.241,155.9,68.1,49.1,10
2014-10-29,11.0,16.2,15.3,288.1,26.3,0.237,87.8,41.3,70.6,10
2014-11-01,3.6,7.7,15.1,12.0,25.6,8.011,54.2,100.0,74.2,11
2014-11-04,8.2,15.7,16.0,225.4,21.8,0.0,137.2,41.6,28.7,11
2014-11-07,3.0,8.4,15.7,305.9,28.8,0.0,103.7,65.3,62.7,11
2014-11-10,10.2,10.4,16.0,194.8,15.8,0.0,138.7,6.8,56.2,11
2014-11-13,6.6,5.9,14.9,319.8,12.1,4.107,115.3,54.8,60.2,11
2014-11-16,11.7,4.0,16.0,221.7,13.0,0.0,87.9,80.3,52.5,11
2014-11-19,8.5,-2.4,16.0,247.5,22.2,0.0,133.5,15.9,40.0,11
2014-11-22,11.8,1.9,16.0,231.7,21.4,0.0,124.0,32.3,40.4,11
2014-11-25,5.2,13.9,16.0,258.8,20.7,0.0,31.1,28.1,46.8,11
2014-11-28,6.1,0.0,16.0,310.7,24.9,0.0,99.6,15.1,57.1,11
2015-09-03,25.2,28.1,13.4,24.5,12.7,0.0,235.6,8.7,55.6,9
2015-09-06,5.7,23.1,16.0,181.8,17.8,0.0,273.7,8.5,55.9,9
2015-09-09,7.7,27.4,15.9,194.4,22.6,0.0,241.4,35.7,67.5,9
2015-09-12,7.2,22.8,15.7,139.2,29.5,2.547,182.4,57.2,73.2,9
2015-09-15,7.7,22.2,16.0,299.5,10.8,0.0,255.3,3.4,45.8,9
2015-09-18,14.0,24.1,15.9,163.2,16.9,0.0,245.0,2.6,51.7,9
2015-09-21,4.4,18.6,16.0,58.8,17.1,0.0,172.8,21.4,45.5,9
2015-09-24,6.6,20.9,16.0,57.5,16.5,0.0,232.9,6.8,52.9,9
2015-09-27,5.2,17.3,16.0,62.0,13.9,0.0,149.1,38.0,65.2,9
2015-09-30,2.9,22.2,13.5,34.4,28.1,34.039,66.2,96.4,78.6,9
2015-10-03,2.0,10.6,12.8,47.7,27.1,10.216,78.2,100.0,80.8,10
2015-10-06,5.3,16.5,16.0,349.7,11.0,0.0,209.7,16.9,59.2,10
2015-10-09,8.3,19.1,14.1,224.8,18.3,15.456,167.4,70.5,76.4,10
2015-10-12,10.5,17.3,16.0,201.6,17.9,0.0,199.2,2.1,58.6,10
2015-10-15,4.2,13.9,16.0,280.7,14.5,0.0,194.2,8.0,51.7,10
2015-10-18,2.6,5.6,16.0,315.4,23.7,0.121,142.8,21.6,45.8,10
2015-10-21,13.9,17.6,15.9,207.1,16.4,0.0,163.1,12.6,49.2,10
2015-10-24,4.3,9.4,16.0,81.1,15.3,0.0,89.5,51.4,60.7,10
2015-10-27,5.9,10.3,16.0,68.0,12.2,0.0,79.8,32.7,59.2,10
2015-10-30,3.6,12.3,16.0,308.4,23.4,0.0,161.9,6.9,41.4,10
2015-11-02,8.2,14.2,16.0,291.5,11.8,0.0,53.3,16.9,60.7,11
2015-11-05,25.0,17.3,7.3,229.7,9.5,0.099,81.3,91.6,83.3,11
2015-11-08,4.2,10.7,16.0,315.8,23.3,0.0,148.9,7.9,45.3,11
2015-11-11,7.1,11.9,12.1,2.8,16.5,8.098,58.3,99.6,78.6,11
2015-11-14,1.9,7.6,16.0,294.1,30.5,0.0,133.8,20.2,42.2,11
2015-11-17,4.5,7.6,16.0,51.8,18.0,0.0,135.7,9.2,51.5,11
2015-11-20,3.9,12.9,15.8,312.0,22.8,0.271,129.1,21.1,47.1,11
2015-11-26,15.2,8.9,15.2,33.7,12.4,0.0,108.4,21.3,72.3,11
2015-11-29,3.1,5.3,16.0,14.0,17.0,0.0,87.1,39.6,56.9,11
2016-09-03,6.6,21.6,16.0,55.4,19.3,0.0,131.1,40.5,62.3,9
2016-09-06,2.9,24.9,15.6,16.9,25.0,0.0,224.3,87.2,56.2,9
2016-09-09,8.5,29.6,15.4,283.8,14.3,1.518,172.2,57.4,59.0,9
2016-09-12,4.1,20.5,16.0,74.2,16.6,0.0,264.2,7.7,52.1,9
2016-09-15,3.3,19.9,16.0,38.0,21.6,0.0,260.1,23.1,49.0,9
2016-09-18,9.3,24.3,15.3,198.5,15.3,0.0,209.4,56.8,74.7,9
2016-09-21,6.2,24.1,15.7,20.9,13.1,0.0,167.2,18.1,56.0,9
2016-09-24,4.5,18.2,15.0,19.5,17.4,8.192,160.8,57.7,60.4,9
2016-09-27,7.8,20.4,14.0,241.3,18.2,8.081,95.4,49.1,71.3,9
2016-09-30,3.2,14.9,9.5,48.3,27.8,6.828,54.3,99.8,80.6,9
2016-10-03,7.1,18.7,12.9,10.2,10.0,0.0,188.8,89.3,74.0,10
2016-10-06,10.6,16.8,14.0,44.4,11.9,0.0,211.3,8.9,70.4,10
