Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2013-03-02,2.7,2.0,15.3,315.1,20.6,0.0,158.9,94.6,62.0,3
2013-03-05,4.8,4.0,16.0,348.9,22.9,0.0,214.4,15.4,51.6,3
2013-03-08,4.0,1.8,7.4,347.3,21.1,13.71,63.8,96.3,81.9,3
2013-03-11,11.5,7.8,15.2,175.5,20.1,0.0,166.8,83.8,80.4,3
2013-03-14,3.0,1.5,16.0,302.3,35.3,0.0,155.3,59.9,40.6,3
2013-03-17,4.8,0.9,16.0,318.3,20.0,0.0,143.2,23.0,54.4,3
2013-03-20,8.2,3.6,16.0,281.3,26.2,0.0,239.6,50.0,44.9,3
2013-03-23,3.4,3.8,16.0,297.4,28.5,0.0,244.3,43.7,44.4,3
2013-03-26,4.3,6.0,16.0,321.6,20.6,0.0,191.9,70.4,55.5,3
2013-03-29,4.0,8.0,16.0,312.6,25.5,0.0,253.9,49.7,48.5,3
2013-04-01,7.6,9.2,12.9,277.4,27.1,0.103,153.5,45.4,68.0,4
2013-04-04,6.5,4.9,16.0,224.9,24.6,0.0,270.4,11.1,41.7,4
2013-04-07,5.1,8.7,16.0,177.5,26.7,0.0,223.7,27.1,58.6,4
2013-04-10,12.8,17.2,15.0,102.6,22.1,5.901,178.3,41.1,59.9,4
2013-04-13,3.9,8.8,15.7,300.2,17.3,1.265,249.7,78.9,66.9,4
2013-04-16,5.4,13.1,16.0,159.7,25.2,0.0,279.2,66.0,70.3,4
2013-04-19,5.2,17.0,12.0,171.1,26.5,0.405,217.3,85.2,82.7,4
2013-04-22,5.4,8.6,16.0,77.6,27.2,0.0,311.8,30.2,53.3,4
2013-04-25,3.1,13.5,15.9,295.7,26.3,0.0,327.1,32.1,40.6,4
2013-04-28,8.4,14.3,16.0,167.2,22.8,0.0,284.0,12.2,39.7,4
2013-05-01,6.7,13.4,16.0,92.5,17.7,0.0,333.6,4.7,48.3,5
2013-05-04,9.1,12.6,16.0,113.1,19.9,0.0,335.1,3.2,62.9,5
2013-05-07,6.3,16.4,15.9,83.3,15.1,0.0,182.3,37.1,71.5,5
2013-05-10,11.0,19.3,15.3,201.7,19.8,0.0,307.6,15.2,66.0,5
2013-05-13,3.5,10.3,16.0,281.5,27.2,0.0,315.8,39.3,41.5,5
2013-05-16,11.5,21.0,15.9,234.2,23.1,0.0,232.6,24.5,52.6,5
2013-05-19,3.4,14.1,6.8,143.5,16.4,10.615,141.7,100.0,90.8,5
2013-05-22,19.6,21.3,9.4,125.9,19.2,0.0,198.8,57.6,79.0,5
