Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2013-06-03,7.2,22.1,12.5,220.9,21.9,23.316,130.2,86.0,80.8,6
2013-06-06,6.6,18.0,14.9,136.9,21.6,1.524,218.6,55.5,70.8,6
2013-06-09,11.5,22.1,16.0,274.8,14.4,0.0,335.5,27.1,62.9,6
2013-06-12,4.7,21.4,15.9,310.9,36.3,0.0,358.2,28.4,54.1,6
2013-06-15,11.7,21.5,16.0,305.3,15.5,0.0,347.7,16.7,54.0,6
2013-06-18,12.8,21.9,13.3,47.9,15.1,8.494,121.4,45.8,77.3,6
2013-06-21,10.8,22.3,16.0,195.1,18.2,0.0,349.8,9.4,49.4,6
2013-06-24,14.0,27.6,15.4,241.1,19.2,0.0,226.1,18.8,64.8,6
2013-06-27,17.1,25.6,14.1,119.1,18.8,8.582,266.6,58.7,74.2,6
2013-06-30,12.7,25.0,12.9,159.6,21.6,0.0,133.4,49.4,81.2,6
2013-07-03,9.2,25.2,14.8,199.2,19.2,12.537,229.3,47.2,82.3,7
2013-07-06,16.2,29.8,15.9,251.9,18.1,0.0,329.1,15.8,61.3,7
2013-07-09,18.2,27.1,14.0,247.7,18.2,2.201,275.2,32.6,62.9,7
2013-07-12,8.2,23.3,14.0,53.5,21.6,3.554,114.1,73.6,71.2,7
2013-07-15,12.7,30.1,15.7,317.4,14.9,0.0,285.9,26.2,59.7,7
2013-07-18,16.6,31.8,14.9,288.2,16.4,0.0,213.8,11.2,53.4,7
2013-07-21,10.3,27.4,15.8,49.9,14.2,0.474,261.7,44.5,57.6,7
2013-07-24,5.9,25.2,16.0,329.7,19.0,0.0,200.9,32.2,62.0,7
2013-07-27,12.1,24.0,15.9,177.4,19.0,0.0,282.6,21.1,64.9,7
2013-07-30,6.6,23.1,16.0,309.0,16.9,0.0,324.1,22.1,51.3,7
2013-08-02,8.6,24.1,13.6,271.2,22.7,0.069,319.5,41.7,64.9,8
2013-08-08,8.2,23.8,13.2,178.4,18.3,8.509,232.1,86.0,83.9,8
2013-08-11,4.7,22.7,16.0,287.9,12.9,0.0,305.9,49.1,52.5,8
2013-08-14,3.0,19.9,15.9,313.8,26.2,0.0,318.9,26.5,54.4,8
2013-08-17,8.9,22.5,16.0,36.8,10.0,0.0,291.5,25.9,53.4,8
2013-08-20,10.8,25.3,15.6,311.9,10.3,0.0,286.2,27.9,61.6,8
2013-08-23,8.5,24.0,15.3,1.7,17.2,0.0,173.2,17.8,58.4,8
2013-08-26,11.2,23.8,15.9,235.1,15.5,0.402,210.8,55.6,57.9,8
2013-08-29,10.2,23.3,12.8,72.4,15.0,0.0,246.1,79.1,78.4,8
2014-06-01,6.8,19.2,16.0,186.8,17.4,0.0,362.8,12.7,42.3,6
2014-06-04,14.0,22.4,12.8,62.2,15.7,0.0,268.3,51.5,63.3,6
2014-06-07,5.3,22.4,16.0,336.9,12.0,0.0,356.3,10.4,49.6,6
2014-06-10,11.5,21.6,8.7,52.0,12.0,0.0,221.5,86.1,80.4,6
2014-06-13,8.7,20.9,7.1,76.7,13.5,26.688,172.9,80.1,85.3,6
2014-06-16,7.9,22.6,16.0,159.5,17.7,0.0,358.4,12.6,56.4,6
2014-06-19,6.8,23.6,15.7,348.0,13.0,1.69,204.5,54.7,68.2,6
2014-06-22,7.4,21.7,16.0,124.4,14.1,0.0,285.7,48.1,55.1,6
2014-06-25,8.0,25.2,14.6,187.0,22.9,0.0,263.8,60.2,71.7,6
2014-06-28,8.4,24.4,16.0,171.5,17.0,0.0,348.9,13.5,50.9,6
2014-07-01,10.5,27.4,15.9,190.0,20.1,0.0,324.5,34.2,62.7,7
2014-07-04,6.3,21.9,13.5,343.7,23.0,4.421,112.5,72.3,74.7,7
2014-07-07,14.5,28.1,15.7,221.1,31.8,0.0,314.6,32.9,51.7,7
2014-07-10,7.6,24.8,16.0,25.9,12.3,0.0,224.9,44.6,59.9,7
2014-07-13,9.0,25.3,15.4,177.5,20.0,0.322,261.0,53.1,69.9,7
2014-07-19,9.0,22.9,16.0,65.0,15.8,0.0,155.4,29.0,56.1,7
2014-07-22,11.5,26.2,15.9,204.1,21.6,0.0,316.0,16.7,60.5,7
2014-07-25,6.7,23.8,15.9,333.1,15.3,0.0,337.4,27.2,48.7,7
2014-07-28,3.5,24.7,15.3,246.6,24.1,3.985,305.7,65.4,67.0,7
2014-07-31,14.4,23.9,15.7,196.6,25.2,0.261,308.7,48.0,57.3,7
2014-08-03,10.8,21.9,14.0,82.9,11.9,1.625,194.5,81.3,73.9,8
2014-08-06,9.1,24.9,15.8,341.8,20.1,0.0,260.3,22.9,56.6,8
2014-08-09,11.9,25.0,16.0,20.5,11.7,0.0,309.3,8.8,45.5,8
2014-08-12,3.7,24.2,15.5,143.9,29.5,1.188,127.3,69.6,69.3,8
2014-08-15,4.1,19.8,16.0,293.0,21.7,0.0,291.0,48.1,51.4,8
2014-08-18,4.8,22.3,16.0,328.3,16.6,0.0,302.8,16.2,51.1,8
2014-08-21,8.2,23.6,15.4,178.0,21.0,1.508,242.2,60.9,62.9,8
2014-08-24,4.5,21.8,16.0,43.4,15.6,0.0,277.3,26.2,64.1,8
2014-08-27,14.7,26.5,15.9,223.4,16.0,0.0,282.3,17.3,56.8,8
2014-08-30,6.3,21.8,16.0,170.8,17.7,0.0,268.7,56.8,63.2,8
2015-06-02,3.5,11.4,9.6,40.7,18.0,10.629,101.5,99.4,88.1,6
2015-06-05,8.1,15.9,14.1,70.2,12.2,1.811,143.0,87.8,73.0,6
2015-06-08,8.2,21.0,15.7,179.8,22.3,1.49,310.2,64.9,65.7,6
2015-06-11,29.2,27.3,13.7,233.2,18.2,0.0,224.8,29.1,55.8,6
2015-06-14,8.9,25.0,15.6,148.3,18.4,1.584,271.8,33.2,52.6,6
2015-06-17,7.5,22.5,15.8,32.5,18.4,0.0,309.3,31.8,60.9,6
2015-06-20,8.5,20.2,11.5,59.6,14.2,0.475,170.4,90.6,71.1,6
2015-06-23,17.0,27.8,15.4,230.3,26.3,0.537,179.5,30.0,63.2,6
2015-06-26,10.6,23.4,16.0,61.1,19.3,0.0,301.1,69.1,56.7,6
