Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2013-01-01,7.6,2.5,16.0,282.2,21.8,0.0,35.8,74.3,57.3,1
2013-01-04,14.5,1.4,16.0,256.3,23.3,0.0,107.6,39.7,54.5,1
2013-01-07,9.3,4.3,16.0,303.5,24.6,0.0,112.6,14.1,53.2,1
2013-01-10,4.7,6.4,16.0,311.6,22.4,0.0,116.8,9.4,46.1,1
2013-01-13,19.2,7.7,5.1,182.7,12.5,0.142,33.0,100.0,95.4,1
2013-01-16,11.6,1.2,8.9,354.0,13.7,17.065,37.0,92.0,90.7,1
2013-01-19,5.2,4.3,16.0,217.6,27.7,0.0,126.4,19.3,48.7,1
2013-01-22,6.2,-6.4,15.9,295.5,28.7,0.0,62.4,35.9,44.3,1
2013-01-25,15.1,-7.9,13.9,284.9,26.2,1.507,67.3,40.7,57.3,1
2013-01-28,27.0,-0.3,9.6,204.7,16.4,5.591,38.9,83.5,74.7,1
2013-01-31,3.7,7.7,14.4,251.5,49.3,23.179,140.9,56.5,57.1,1
2013-02-03,19.9,-3.0,13.3,330.7,13.1,0.724,66.7,70.4,71.6,2
2013-02-06,17.8,0.6,12.3,309.9,20.8,0.142,139.9,49.7,62.4,2
2013-02-09,3.7,-2.2,11.3,325.3,31.4,9.478,147.9,39.5,62.7,2
2013-02-12,7.1,5.0,16.0,274.6,30.4,0.0,152.8,60.0,54.7,2
2013-02-15,26.0,6.3,13.8,203.2,18.6,0.0,164.6,32.3,63.7,2
2013-02-18,3.5,-3.3,16.0,289.5,28.5,0.0,186.0,5.6,40.3,2
2013-02-21,3.9,-2.1,16.0,308.2,29.1,0.0,185.0,37.1,48.6,2
2013-02-24,4.7,3.9,13.8,324.2,29.5,0.732,133.5,83.0,73.1,2
2013-02-27,5.0,5.5,8.0,61.4,35.1,29.407,72.9,90.6,86.3,2
2013-12-06,5.4,9.4,8.5,14.6,17.5,18.871,45.0,100.0,85.3,12
2013-12-09,5.8,2.1,7.2,16.7,21.5,6.91,22.2,85.9,86.1,12
2013-12-12,6.3,-3.3,16.0,294.0,21.0,0.0,101.8,10.0,44.2,12
2013-12-15,7.5,1.9,12.8,309.4,23.6,17.579,84.6,89.8,73.7,12
2013-12-18,15.1,-1.0,15.8,286.3,20.9,0.0,95.2,35.9,61.6,12
2013-12-21,32.7,12.3,15.6,220.4,17.1,0.383,93.0,36.3,71.7,12
2013-12-24,4.9,2.5,15.8,325.9,29.1,0.0,86.9,47.0,52.5,12
2013-12-27,12.2,2.0,16.0,264.2,19.5,0.0,105.8,33.1,51.4,12
2013-12-30,5.8,2.6,16.0,311.1,27.4,0.0,59.5,38.3,62.4,12
2014-01-02,11.2,-3.0,12.0,38.1,24.8,2.915,21.0,100.0,72.3,1
2014-01-05,26.0,-2.0,7.4,4.9,10.3,1.102,20.3,70.8,79.7,1
2014-01-08,12.3,-9.0,16.0,264.4,17.3,0.0,116.3,24.3,43.1,1
2014-01-11,8.2,9.8,7.2,183.1,26.2,7.811,36.7,99.5,90.7,1
2014-01-14,8.4,8.3,13.2,225.2,15.4,4.9,15.9,79.8,80.1,1
2014-01-17,14.8,3.3,15.8,199.8,18.5,0.0,114.4,24.1,59.1,1
2014-01-20,6.7,4.1,15.9,253.5,27.9,0.0,82.3,67.4,50.6,1
2014-01-23,7.2,-9.9,16.0,284.5,29.0,0.0,103.1,39.1,48.9,1
2014-01-26,4.2,-5.5,15.7,260.2,32.8,0.0,100.3,47.8,47.3,1
2014-01-29,8.0,-7.7,13.5,279.1,21.1,0.666,134.5,35.9,44.8,1
2014-02-01,28.4,3.4,15.6,156.9,14.8,0.0,95.7,20.8,51.0,2
2014-02-04,17.4,-1.6,13.2,16.2,9.1,0.0,118.0,36.6,68.2,2
2014-02-07,15.1,-1.9,16.0,259.1,22.1,0.0,153.7,13.2,52.4,2
2014-02-10,17.7,-3.9,15.5,305.2,29.3,0.0,150.8,11.2,52.2,2
2014-02-13,5.3,-0.5,4.1,31.2,30.3,45.223,38.4,100.0,84.6,2
2014-02-16,8.5,-3.7,16.0,299.9,29.8,0.0,145.7,42.2,50.5,2
2014-02-19,26.6,2.8,10.9,352.2,17.5,5.967,85.2,52.2,72.7,2
2014-02-22,6.6,6.8,15.8,220.5,35.4,0.0,180.0,7.0,49.3,2
2014-02-25,7.8,-2.1,15.9,291.5,26.3,0.0,62.2,47.3,45.3,2
2014-02-28,7.5,-8.2,16.0,308.8,27.9,0.0,212.7,2.9,33.8,2
2014-12-01,11.1,11.1,15.8,300.5,20.5,2.255,44.5,81.3,63.1,12
2014-12-04,7.4,4.2,16.0,300.6,19.5,0.0,92.6,14.6,48.1,12
2014-12-07,2.9,2.7,15.9,13.5,28.9,2.834,77.4,23.2,50.7,12
2014-12-19,3.4,1.8,16.0,315.2,24.1,0.0,95.6,73.4,57.2,12
2014-12-22,10.6,4.2,12.8,42.6,14.5,0.936,59.9,100.0,81.6,12
2014-12-25,1.7,10.9,14.2,280.9,32.8,1.967,78.6,67.3,54.9,12
2014-12-28,12.5,8.6,14.9,274.4,17.4,2.344,42.8,68.9,69.1,12
2014-12-31,6.4,-1.9,16.0,272.0,20.9,0.0,91.7,46.3,44.4,12
2015-01-03,8.4,1.5,10.4,57.1,17.0,15.311,63.3,61.8,72.4,1
2015-01-06,7.9,-6.6,12.0,277.0,18.2,0.983,21.9,59.5,59.6,1
2015-01-09,7.7,-3.5,14.2,243.4,26.0,1.714,59.8,53.8,49.9,1
2015-01-12,14.7,2.3,10.8,250.4,12.3,9.199,12.4,100.0,74.0,1
2015-01-15,15.6,-1.5,15.9,287.0,16.8,0.0,100.1,44.4,58.4,1
2015-01-18,10.9,1.2,9.1,354.2,13.7,51.034,31.6,83.0,84.2,1
2015-01-21,6.7,-1.0,16.0,15.3,11.5,0.0,58.6,50.5,40.5,1
2015-01-24,15.1,1.7,7.5,332.1,19.9,17.713,22.1,85.5,80.9,1
2015-01-27,4.3,-4.5,10.0,349.3,26.9,6.648,53.2,74.1,68.3,1
2015-01-30,12.8,-0.4,12.2,306.9,35.1,2.592,72.6,73.9,65.3,1
2015-02-08,26.6,1.2,9.3,59.0,19.2,0.0,72.6,92.2,79.8,2
2015-02-11,8.7,-2.5,16.0,17.0,19.9,0.0,169.1,7.3,51.4,2
2015-02-14,12.5,-5.0,12.8,245.2,20.6,0.653,67.7,82.2,58.2,2
2015-02-17,6.0,-6.5,10.9,14.7,15.0,2.939,98.3,68.3,59.2,2
